Name,Metric,Area(um^2),Power(uW),Delay(ns)
max_2-0-6,0.004782,2355.70,nan,7998.480000
max_2-0-7,0.004799,2028.25,nan,5291.090000
max_2-0-8,0.004552,2029.58,nan,5302.840000
max_2-0-9,0.006657,2023.46,nan,5273.780000
max_2-0-10,0.003809,2226.69,nan,6796.230000
max_2-0-12,0.004764,2188.38,nan,8121.530000
max_2-0-13,0.006711,2028.78,nan,5306.480000
max_2-0-14,0.004805,2160.98,nan,6274.840000
max_2-0-15,0.004771,2188.91,nan,8106.810000
max_2-0-16,0.006725,2023.99,nan,5273.780000
max_2-0-17,0.004836,1947.12,nan,6145.420000
max_2-0-18,0.004299,2163.91,nan,6262.040000
max_2-0-19,0.004528,2022.13,nan,5265.840000
max_2-0-20,0.004739,2222.70,nan,6772.130000
max_2-0-21,0.004509,2039.42,nan,7075.430000
max_2-0-22,0.006668,2024.79,nan,5259.150000
max_2-0-23,0.004792,2077.99,nan,5882.800000
max_2-0-24,0.004554,2032.51,nan,5326.000000
max_2-0-25,0.004553,2044.21,nan,5304.170000
max_2-0-26,0.004799,2219.24,nan,5211.430000
max_2-0-27,0.006281,1946.85,nan,6642.540000
max_2-0-28,0.004788,2162.31,nan,6263.230000
max_2-0-29,0.006278,1945.52,nan,6613.090000
max_2-0-30,0.004347,2031.71,nan,5301.570000
max_2-0-31,0.006719,2025.32,nan,5276.870000
max_2-0-32,0.006581,1993.14,nan,6960.060000
max_2-0-33,0.004758,2023.20,nan,5268.940000
max_2-0-34,0.004796,2209.40,nan,6769.800000
max_2-0-35,0.004735,2027.45,nan,5282.720000
max_2-0-36,0.006695,2131.99,nan,6715.840000
max_2-0-37,0.004776,2186.52,nan,8083.890000
max_2-0-38,0.006715,2022.40,nan,5265.380000
max_2-0-39,0.006665,2024.26,nan,5264.670000
max_2-0-40,0.003846,2027.45,nan,5282.310000
max_2-0-41,0.004548,2031.44,nan,5293.420000
max_2-0-42,0.006618,2030.91,nan,5285.410000
max_2-0-43,0.005219,2164.71,nan,5441.070000
max_2-0-44,0.004298,2230.68,nan,6909.140000
max_2-0-45,0.004802,2216.84,nan,6772.780000
max_2-0-46,0.004601,2032.51,nan,5354.680000
max_2-0-47,0.004295,2030.38,nan,5295.730000
max_2-0-48,0.006741,2030.38,nan,5295.680000
max_2-0-49,0.004828,2021.60,nan,5266.050000
max_2-0-50,0.006415,2303.03,nan,6672.070000
max_2-0-51,0.004779,2420.87,nan,5563.480000
max_2-0-52,0.004556,2226.15,nan,6818.800000
max_2-0-53,0.006728,2022.66,nan,5250.780000
max_2-0-54,0.006675,2285.74,nan,6820.370000
max_2-0-55,0.004756,2248.76,nan,6887.580000
max_2-0-56,0.004742,2201.68,nan,8081.590000
max_2-0-57,0.005805,1971.86,nan,6711.390000
max_2-0-58,0.006629,2021.33,nan,6820.120000
max_2-0-59,0.006926,1976.65,nan,7051.160000
max_2-0-60,0.009497,2169.50,nan,5389.680000
max_2-0-61,0.007863,2064.96,nan,5762.560000
max_2-0-62,0.004802,2021.60,nan,6988.750000
max_2-0-63,0.003346,2130.13,nan,8264.280000
max_2-0-64,0.006649,2024.79,nan,5266.920000
max_2-0-65,0.006532,2021.07,nan,5255.340000
max_2-0-66,0.004858,2186.25,nan,8098.020000
max_2-0-67,0.004873,2023.20,nan,5279.780000
max_2-0-68,0.006700,2022.13,nan,5261.260000
max_2-0-69,0.004760,2027.72,nan,5291.430000
max_2-0-70,0.006690,2024.26,nan,5273.530000
max_2-0-71,0.004831,2096.61,nan,7963.340000
max_2-0-72,0.004838,2023.46,nan,5279.730000
max_2-0-73,0.004788,2026.65,nan,5287.810000
max_2-0-74,0.006294,1933.02,nan,6690.860000
max_2-0-75,0.004822,2056.71,nan,5314.220000
max_2-0-76,0.004598,2029.85,nan,5287.310000
max_2-0-77,0.006188,2137.84,nan,6900.410000
max_2-0-78,0.004668,2045.27,nan,5306.790000
